b,r,r,c,c,c,c,c,c,c,r,r,r,c,c,l,b,b,b,b,b,b
1,300,1,7,1,0,3,3,0,0,100,1,1,0,0,0,0,0,0,1,0,0
0,100,1,0,4,1,4,0,0,0,100,1,2,0,0,1,0,1,0,0,0,0
1,450,1,0,1,3,5,6,0,1,25,1,1,0,0,1,1,1,0,1,1,0
0,1500,2,1,2,4,1,3,1,2,100,5,0,0,0,0,1,1,0,0,0,0
1,300,1,6,2,1,4,4,0,0,75,0,2,0,0,0,1,0,0,0,0,0
0,600,1,0,2,4,0,6,0,0,100,2,2,0,0,0,0,0,0,1,0,0
0,300,1,7,1,0,0,5,0,0,75,0,5,0,0,0,1,1,0,0,0,0
0,500,1,0,0,1,5,3,2,4,100,2,1,0,0,1,1,0,0,0,0,0
1,300,1,6,1,1,3,6,0,0,100,2,0,0,0,0,1,1,1,0,0,0
0,300,1,0,4,0,1,3,0,0,99,2,2,0,0,0,1,0,0,0,0,0
0,200,1,2,1,3,2,6,1,0,50,0,0,0,0,0,0,0,0,0,0,0
0,100,1,2,1,4,1,3,2,0,100,2,1,0,0,1,0,0,0,0,0,0
0,8000,1,0,3,1,5,4,0,0,100,9,9,0,0,0,1,1,0,0,0,0
0,300,1,4,3,0,1,6,0,0,100,10,10,0,0,1,1,0,1,0,0,0
0,25000,5,0,0,1,4,4,2,4,75,0,0,0,0,1,0,0,1,0,0,0
0,200,1,5,4,1,3,3,0,0,75,1,0,0,0,0,1,1,0,0,0,0
1,500000,9,0,3,6,2,1,2,3,75,1,1,0,0,1,1,1,1,1,1,1
1,2400,1,0,2,1,5,0,0,1,100,1,1,0,0,1,1,1,0,1,1,0
1,150,2,0,1,0,5,3,0,1,100,0,1,0,0,1,1,1,1,1,1,1
1,2000,1,0,3,5,1,3,0,0,50,0,0,0,0,1,1,1,0,0,0,0
0,300,1,0,2,4,1,6,0,0,100,5,5,2,0,1,0,0,0,0,1,0
1,1400,1,0,1,0,1,6,0,0,100,5,5,0,0,1,1,1,1,1,1,0
1,2000,3,0,4,6,5,7,0,0,100,5,5,0,0,0,1,1,0,0,0,0
0,9000,2,1,0,6,0,4,1,2,100,1,1,0,0,1,0,1,0,0,0,0
1,10050,1,0,0,1,5,3,0,1,100,5,5,0,0,0,1,1,1,0,1,1
1,300,1,7,1,0,5,3,1,0,100,1,1,0,0,0,1,0,0,0,0,0
1,3500,1,0,3,4,0,1,0,0,100,2,2,0,0,1,1,1,0,0,1,0
1,300,1,7,3,6,5,6,0,0,100,9,9,0,0,0,1,1,0,1,0,0
1,40000,4,0,1,6,3,3,2,4,100,1,1,0,0,1,1,1,1,1,0,0
1,15000,2,0,2,1,0,6,2,3,100,0,1,0,0,1,1,1,0,0,1,0
0,100,1,0,2,1,3,3,0,0,100,2,2,2,0,1,0,0,0,0,0,0
0,2500,1,0,3,6,1,3,0,1,100,0,1,0,0,1,0,1,0,0,1,0
0,750,2,2,1,3,0,1,0,1,50,1,0,0,0,0,1,1,0,0,0,0
1,350,1,0,0,1,2,6,1,3,100,1,1,0,0,1,1,1,0,0,0,0
1,2500,1,0,4,1,2,4,0,0,100,5,1,0,0,1,1,1,0,1,1,0
1,50,1,0,1,3,5,6,0,0,50,0,0,0,0,0,1,1,0,1,0,0
1,4000,1,5,4,1,2,6,0,0,100,1,1,0,0,0,1,1,0,0,0,0
0,300,1,4,3,4,0,0,0,0,100,10,10,0,0,1,1,1,0,1,0,0
0,700,1,2,2,6,2,5,0,0,100,1,1,0,0,1,1,0,1,0,0,0
1,300,1,7,2,1,6,3,0,0,100,2,5,0,0,0,1,1,0,1,0,0
1,8000,1,0,2,0,5,3,2,2,100,0,2,0,0,1,1,0,0,0,0,0
1,300,1,5,2,6,5,1,0,0,50,2,5,0,0,0,1,0,0,0,0,0
1,300,1,6,1,6,2,1,0,0,100,1,1,0,0,0,1,0,0,0,0,0
0,7000,1,0,1,1,2,6,2,3,50,1,5,0,0,1,0,1,0,0,0,0
0,400,2,0,2,1,5,6,0,0,100,1,5,0,0,0,1,0,0,0,0,0
1,300,1,5,3,1,5,0,0,0,100,1,1,0,0,1,1,1,1,1,0,0
1,50000,10,0,4,1,5,3,0,0,100,2,2,0,0,1,1,1,1,1,1,1
1,200,1,5,3,6,0,3,0,0,100,1,2,0,0,0,1,1,0,0,0,0
0,300,1,5,4,1,1,4,0,0,100,2,5,0,0,0,1,0,0,0,0,0
0,7000,1,0,4,1,1,0,0,0,100,5,5,0,0,0,0,0,1,1,0,1
0,40000,1,0,1,1,1,3,2,2,100,5,0,0,0,1,1,0,1,0,1,0
0,7000,6,0,1,3,5,1,2,4,50,0,0,0,0,1,0,1,0,0,0,0
0,200,1,5,4,1,1,4,0,0,100,5,5,0,0,0,0,1,1,1,0,0
0,2100,1,0,3,1,4,1,0,0,50,0,1,0,0,0,0,0,0,1,0,0
1,500,1,6,1,7,0,3,0,0,100,2,2,0,0,1,1,1,1,0,1,0
1,1500,1,0,0,5,2,3,2,0,25,0,0,0,0,1,0,0,0,0,0,0
0,19300,2,0,1,1,2,0,2,3,75,2,0,0,0,1,1,1,1,1,0,0
0,400,1,2,1,3,1,6,1,0,75,2,0,0,0,0,0,1,0,1,0,1
1,500,1,0,4,0,5,1,0,0,100,5,5,0,0,1,1,1,1,0,1,0
1,5000,1,0,0,0,5,1,2,2,100,5,5,0,0,1,1,1,1,0,1,0
1,300,1,0,0,3,4,1,2,3,50,0,0,0,0,1,1,1,0,1,0,0
1,1800,1,0,0,6,0,3,2,2,100,1,2,0,0,1,1,1,1,1,1,1
1,600,1,0,4,5,1,6,0,0,50,0,0,0,0,0,1,0,1,0,0,0
1,2500,2,0,3,1,2,6,0,0,75,0,0,0,0,1,1,1,1,0,1,0
0,700,1,2,1,6,2,6,2,1,75,1,1,0,0,0,1,1,0,0,1,0
0,300,1,5,4,0,0,0,0,0,100,5,10,0,0,0,1,1,0,1,0,0
0,200,1,2,1,6,2,6,2,4,75,1,1,0,0,0,1,1,0,0,1,0
1,3000,1,0,3,1,5,3,0,1,100,5,5,0,0,1,1,1,0,0,1,0
0,7000,1,0,3,1,1,4,0,0,100,0,1,0,0,0,1,1,0,1,0,0
1,350,1,0,2,6,0,3,0,0,100,1,1,0,0,1,1,1,1,1,1,0
1,1100,1,2,0,1,0,6,2,3,100,5,1,0,1,0,0,0,0,0,0,0
0,300,1,0,1,1,5,6,0,0,100,2,2,0,0,0,1,1,0,0,0,0
1,2300,1,0,1,1,2,6,2,3,50,1,0,0,0,1,1,1,0,1,0,0
1,100,1,0,1,0,3,6,0,0,100,9,9,0,0,0,1,1,1,0,0,0
0,30000,1,0,3,1,1,0,1,0,100,5,5,0,0,1,1,1,0,0,1,1
1,1000,1,0,4,1,0,3,0,0,100,1,1,0,0,1,0,0,0,1,0,0
1,1500,3,0,1,1,0,6,2,3,100,2,2,0,0,1,1,1,1,1,1,0
0,1000,1,0,0,0,2,4,2,3,75,0,0,0,0,1,0,1,0,0,0,0
0,300,1,6,2,0,1,4,0,0,100,2,1,0,0,0,1,1,0,0,0,0
0,4300,1,0,3,0,1,1,0,0,100,5,5,0,0,1,1,1,0,1,0,1
0,1000,1,0,1,1,1,0,0,0,100,5,5,0,0,1,1,1,1,1,1,0
1,8300,2,0,2,0,5,3,2,3,100,2,2,0,0,1,1,1,0,1,0,0
0,300,1,2,0,3,5,1,2,4,25,0,0,0,0,0,0,1,0,0,0,0
1,3500,1,0,2,4,2,0,0,0,100,2,2,0,0,1,1,1,1,0,1,0
1,300,1,0,3,3,1,5,0,0,25,0,0,0,0,1,1,1,1,1,0,0
1,3000,1,0,3,1,5,0,0,0,100,5,2,0,0,1,1,1,1,1,1,0
